Name,Pop,lat,lon
Tijuana,2,32.5149,-117.0382
Tuxtla Gutiérrez,12,16.7516,-93.103
Chihuahua,9,28.633,-106.0691
Mexico City,65,19.4326,-99.1332
Victoria de Durango,1,24.5593,-104.6588
Toluca,26,19.1732,-99.3614
Chilpancingo de los Bravo,537,17.3305,-99.3003
Pachuca de Soto,11,20.0721,-98.4409
Guadalajara,33,20.3958,-103.2107
Morelia,7,19.4606,-101.1122
Cuernavaca,5,18.5527,-99.1318
Tepic,1,32.3059,-104.5339
Monterrey,7,25.4017,-100.1831
Oaxaca de Juárez,7,17.0594,-96.7216
Puebla,7,19.0413,-98.2062
San Luis Potosí,1,22.1566,-100.9855
Cuiliacán Rosales,43,24.8091,-107.394
Hermosillo,9,29.073,-110.9559
Villahermosa,1,17.9895,-92.9475
Ciudad Victoria,2,23.7369,-99.1411
Xalapa,2,19.5438,-92.9102
,,,
